user_id,username,fecha,hora,puntos_base,multiplicador,puntos_finales
468878374400425985,Joe Yabuki,2026-09-05,05:44,100,1.095,109.5
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-05,08:02,25,1.044,26.1
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-06,06:32,100,1.077,107.7
468878374400425985,Joe Yabuki,2026-09-06,07:41,25,1.052,26.3
251018515023134721,Ñoquito,2026-09-06,09:14,5,1.018,5.1
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-07,08:44,25,1.029,25.7
468878374400425985,Joe Yabuki,2026-09-07,09:14,5,1.018,5.1
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-08,07:28,25,1.057,26.4
468878374400425985,Joe Yabuki,2026-09-08,07:35,25,1.054,26.4
251018515023134721,Ñoquito,2026-09-08,07:44,25,1.051,26.3
468878374400425985,Joe Yabuki,2026-09-09,06:52,100,1.070,107.0
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-09,07:03,25,1.066,26.6
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-10,07:11,25,1.063,26.6
251018515023134721,Ñoquito,2026-09-10,07:33,25,1.055,26.4
468878374400425985,Joe Yabuki,2026-09-10,08:04,25,1.043,26.1
468878374400425985,Joe Yabuki,2026-09-11,06:50,100,1.070,107.0
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-11,06:59,100,1.067,106.7
848312017701830656,Luchito,2026-09-11,09:10,5,1.019,5.1
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-12,05:55,100,1.091,109.1
468878374400425985,Joe Yabuki,2026-09-12,06:41,100,1.074,107.4
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-13,06:31,100,1.078,107.8
468878374400425985,Joe Yabuki,2026-09-13,08:38,25,1.031,25.8
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-14,06:51,100,1.070,107.0
468878374400425985,Joe Yabuki,2026-09-14,06:52,100,1.070,107.0
468878374400425985,Joe Yabuki,2026-09-15,06:50,100,1.070,107.0
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-15,07:07,25,1.064,26.6
898791221928022036,ay roman,2026-09-15,09:08,5,1.020,5.1
467430506762600448,Nowthousand Leonardo +Diaz,2026-09-16,08:03,25,1.044,26.1
468878374400425985,Joe Yabuki,2026-09-17,06:50,100,1.070,107.0
468878374400425985,Joe Yabuki,2026-09-18,06:57,100,1.068,106.8
848312017701830656,Luchito,2026-09-18,09:53,5,1.003,5.0
468878374400425985,Joe Yabuki,2026-09-19,07:42,25,1.051,26.3
468878374400425985,Joe Yabuki,2026-09-21,05:52,100,1.092,109.2
468878374400425985,Joe Yabuki,2026-09-22,06:51,100,1.070,107.0
468878374400425985,Joe Yabuki,2026-09-23,06:51,100,1.070,107.0
